slug,hashId,title,chatDate,imageSlug,imageAlt,imageCaption,workDate,pubDate,category,cluster,featured,notes
when-multiple-ais-can-still-drift-together,0caeeadf7ef5,When Multiple AIs Can Still Drift Together,7/20/2025,robot-skaters.webp,"Multiple robots skating in formation, drifting off-course together despite moving in sync.",,2025-06-15,2025-07-22,building,complexity-reckoning,,
when-methodology-meets-reality-building-while-learning,0d83dcb92553,When Methodology Meets Reality: Building While Learning,9/6/2025,robot-punchbowl.webp,"A robot at a punchbowl mixing theory and practice, learning the recipe by making it.",,2025-09-07,2025-09-15,building,meta-development,,
the-friday-housekeeping-that-turned-into-infrastructure-gold-or-sometimes-the-boring-work-is-the,0e400ccc7994,The Friday Housekeeping That Turned Into Infrastructure Gold (Or: Sometimes the Boring Work Is the Real Work),8/20/2025,robot-dispatcher.webp,"A robot at a dispatch console routing tasks, transforming routine maintenance into coordinated infrastructure.",,2025-08-22,2025-08-29,building,enhanced-capabilities,,
building-reliable-ai-workflows-when-the-stakes-actually-matter-how-a-trust-crisis-transformed-our,0f4ee7ec840e,Building Reliable AI Workflows When the Stakes Actually Matter: How a Trust Crisis Transformed Our Spring Cleaning Sprint,8/6/2025,robot-forget.webp,"A robot confronting a blank memory, illustrating the trust cost of workflows that lose their context.",,2025-08-06,2025-08-15,building,methodology-refinement,,
digging-out-of-the-complexity-hole,117b25fa6bae,Digging Out of the Complexity Hole,7/20/2025,robot-dig.webp,"A robot digging upward through layered soil, working systematically out of an accumulated complexity trap.",,2025-06-17,2025-07-24,building,complexity-reckoning,,
the-two-line-fix-that-took-all-day-or-why-process-is-product,12b31efe360b,The Two-Line Fix That Took All Day (Or: Why Process Is Product),9/9/2025,robot-fractal.webp,"A robot examining a fractal pattern, where a tiny fix unfolds into an infinitely detailed investigation.",,2025-09-09,2025-09-16,building,strategic-pause,,
720-chat,12f37f759a92,The Foundation Sprint: Why We Clean House Before Building New Rooms,7/20/2025,robot-inspector.webp,A robot with clipboard and magnifying glass inspecting a foundation before construction can safely resume.,,2025-07-21,2025-08-06,building,test-suite-recovery,,
from-task-executor-to-problem-solver,13896a87b7a9,From Task Executor to Problem Solver (comes befofe Domain-First Dev),,robot-maze.webp,"A robot pausing at a maze junction, shifting from following instructions to reasoning about the path.",,2025-06-02,2025-07-12,building,foundation-building,,
the-technical-debt-reckoning,160bc294b0b5,The Technical Debt Reckoning,7/20/2025,robot-third-arm.webp,"A robot sprouting an awkward third arm, embodying the unwieldy workarounds that accumulate as technical debt.",,2025-06-26,2025-07-28,building,complexity-reckoning,,
716-chat,1e15183972a7,The 5-Minute Day: When TDD Meets AI-Assisted Development,7/16/2025,robots-cranking.webp,"Multiple robots cranking gears in tight coordination, running test-driven cycles that last only minutes.",,2025-07-17,2025-08-05,building,test-suite-recovery,,
from-archaeological-mystery-to-infrastructure-triumph,1ede9b664c68,From Archaeological Mystery to Infrastructure Triumph,8/17/2025,robot-splosion.webp,"A robot amid a burst of energy and debris, the moment an archaeological find detonates into working infrastructure.",,2025-08-19,2025-08-26,building,enhanced-capabilities,,
the-architectural-reckoning,1f9581a41633,The Architectural Reckoning: When Three Experts Agree You Should Start Over,,robot-three.webp,"Three robots in conference, each independently arriving at the same verdict: start the design over.",,2025-05-29,2025-07-11,insight,foundation-building,,
from-architecture-drift-to-working-ai,201f17c5cfbf,From Architecture Drift to Working AI,,robot-toy.webp,"A robot reassembling a simple toy, returning an overcomplicated system to something that actually works.",,2025-06-15,2025-07-18,building,foundation-building,,
712-713-715-chat,2575d3526323,From Broken Tests to Perfect Architecture: The Great Cleanup of July 14,7/12/2025,robot-cleanup.webp,"A robot tidying a cluttered workspace, restoring order so a clean architecture can take shape.",,2025-07-14,2025-08-04,building,test-suite-recovery,,
720-chat-2,2582f1c7b3d5,When Your Infrastructure Gets Smarter Than Your Tests,7/20/2025,robot-orchestra.webp,"A robot conductor leading an ensemble, as infrastructure grows more capable than the tests written to check it.",,2025-07-20,2025-08-06,building,test-suite-recovery,,
digital-archaeology-of-a-lost-ai-development-weekend,263831a13e10,Digital Archaeology of a Lost AI Development Weekend,7/11/2025,robot-mvp.webp,"A robot uncovering a minimal artifact from the ground, reconstructing a lost sprint from its remains.",,2025-07-11,2025-09-14,insight,meta-development,,
the-methodology-cascade-problem-and-how-were-solving-it,283c92ab9267,The Methodology Cascade Problem (And How We're Solving It),9/3/2025,robot-recursive.webp,"A robot reflecting its own image in a mirror held by another robot, illustrating self-referential process failures.",,2025-09-03,2025-09-10,building,meta-development,,
day-zero-or-deja-zero,2965731c90bc,Day Zero or Deja Zero: When Chaos Became a Claude Project,,robot-office.webp,"A robot settling into a fresh office setup, beginning again with structure where chaos had been.",,2025-06-23,2025-07-20,insight,foundation-building,,
when-overconfidence-meets-rm-rf-a-github-pages-debugging-tale,2f355444ec38,When Overconfidence Meets rm -rf: A GitHub Pages Debugging Tale,7/22/2025,robot-balloon.webp,"A robot watching a balloon escape its grip, the moment overconfidence lets something irreversible slip away.",,2025-06-27,2025-08-23,insight,infrastructure-sprint,,
the-just-in-time-retrospective-how-fresh-session-logs-became-our-content-strategy,2fc8034af04f,The Just-in-Time Retrospective: How Fresh Session Logs Became Our Content Strategy,7/12/2025,robot-blog.webp,"A robot typing at a desk, turning raw session logs into published retrospectives while the work is still fresh.",,2025-07-15,2025-09-20,insight,strategic-pause,,
keeping-your-ai-project-on-track-lessons-from-building-a-product-management-assistant,32c8ed94248d,Keeping Your AI Project on Track: Lessons from Building a Product Management Assistant,7/22/2025,robot-dogsled.webp,"A robot mushing a dogsled team, steering an AI project through demanding terrain.",,2025-06-14,2025-07-27,insight,complexity-reckoning,,
the-real-bugs-live-in-the,336d98a417e4,The Real Bugs Live in the UI (A Testing Reality Check),,robot-mosquito.webp,"A robot swatting an oversized mosquito, representing bugs that lurk in the user interface.",,2025-07-01,2025-07-30,building,the-debugging-marathon,,
successful-prototype-syndrome,34c725384254,Successful Prototype Syndrome,7/20/2025,robot-easy.webp,"A robot reclining with unearned confidence, embodying the trap of early prototype success.",,2025-06-19,2025-07-24,building,complexity-reckoning,,
the-day-our-methodology-saved-us-from-our-own-hype,35a91d794dc3,The day our methodology saved us from our own hype,8/12/2025,robot-massage-chair.webp,"A robot sinking into a massage chair, lulled by comfort and hype before process intervenes.",,2025-08-12,2025-08-19,building,infrastructure-sprint,,
small-scripts-win,360bd682551e,Small Scripts Win: Building Knowledge That Actually Knows Things,,robot-know.webp,"A robot tapping its temple knowingly, representing knowledge embedded in focused, purposeful scripts.",,2025-06-08,2025-07-17,building,foundation-building,,
the-final-leap-when-prototype-becomes-production-tool-mislabeld-as-the-day-we,37128cf4fdf6,The Final Leap: When Prototype Becomes Production Tool (mislabeld as The Day We),7/22/2025,robot-guru.webp,"A robot seated in a guru's pose, marking the moment a prototype graduates to production wisdom.",,2025-07-23,2025-08-07,building,test-suite-recovery,,
when-your-tests-pass-but-your-app-fails,3b3d6f3aeff1,When Your Tests Pass But Your App Fails,7/9/2025,robot-prof.webp,A robot in professor's garb holding a passing grade while the application behind it crashes.,,2025-07-09,2025-08-08,building,the-debugging-marathon,,
integration-reveals-all,3d696dbf2803,Integration Reveals All: How Building File Analysis Exposed Hidden Architecture,,robot-found.webp,"A robot uncovering a hidden object, representing architectural truths exposed only during integration.",,2025-06-27,2025-06-27,building,genesis-architecture,,
chasing-rabbits-a-debugging-story,40f084dc3095,Chasing Rabbits (A Debugging Story),,robot-rabbits.webp,"A robot pursuing a trail of rabbits, illustrating how one debugging lead multiplies into many.",,2025-05-31,2025-08-03,building,first-production-tests,,
when-good-decisions-disappear-the-hidden-cost-of-chat-based-development,4148a6ebdab1,When Good Decisions Disappear: The Hidden Cost of Chat-Based Development,8/3/2025,robot-stories.webp,"A robot surrounded by fading story fragments, showing how chat-based decisions vanish without a record.",,2025-08-05,2025-10-04,insight,reflection-evolution,,
the-quiet-satisfaction-of-the-successful-inchworm,433429cb8a5a,The Quiet Satisfaction of the Successful Inchworm,9/21/2025,robot-divers.webp,"Two robot divers descending in careful synchrony, embodying the measured progress of incremental work.",,2025-09-25,2025-10-02,building,discipline-completion,,
the-day-we-taught-piper-to,437a3ec04316,The Day We Taught Piper to Summarize (Almost),,robot-amnesiac.webp,"A robot with blank expression and empty hands, reflecting an AI struggling to hold new information.",,2025-07-04,2025-07-30,building,the-debugging-marathon,,
back-in-the-optimist-bird-seat,4407ec7dfb6c,Back in the Optimist Bird Seat,9/16/2025,robot-hurricane.webp,"A robot piloting calmly through a hurricane, projecting optimism while chaos swirls outside.",,2025-09-16,2025-09-23,building,discipline-completion,,
the-discipline-of-actually-finishing,44e1dc125be4,The Discipline of Actually Finishing,9/21/2025,robot-testflight.webp,"A robot completing a pre-flight checklist before launch, embodying the discipline of seeing work through.",,2025-09-23,2025-09-30,building,discipline-completion,,
teaching-an-ai-to-sound-like,4660787e98a1,Teaching an AI to Sound Like Me (Without Losing My Mind),,robot-mirror.webp,"A robot studying its own reflection, capturing the effort of teaching AI to mirror a human voice.",,2025-06-30,2025-08-17,insight,infrastructure-sprint,,
the-strategic-pause,46c9aa742bef,The Strategic Pause,9/12/2025,robot-find.webp,"A robot pausing mid-step to examine what it has found, representing deliberate reflection over momentum.",,2025-09-14,2025-09-22,building,strategic-pause,,
knowledge-hierarchies-and-dependency-hell,4734f6e9f442,Knowledge Hierarchies and Dependency Hell,,robot-jenga.webp,"A robot carefully pulling a Jenga block from a tower, showing how dependency chains teeter on single pieces.",,2025-06-04,2025-07-04,building,genesis-architecture,,
weekend-sprint-chronicles-six-infrastructure-victories-and-a-dead-show,495a9ed09430,Weekend Sprint Chronicles: Six Infrastructure Victories and a Dead Show,8/3/2025,robo-ethics.webp,"A robot weighing choices on a scale of principles, framing infrastructure victories through an ethical lens.",,2025-08-03,2025-08-14,building,methodology-refinement,,
the-convergence-day-or-how-to-tell-if-youre-having-breakthroughs-or-just-drinking-your-own-kool-aid,49e65eb92e82,The convergence day (or: How to tell if you're having breakthroughs or just drinking your own Kool-Aid),8/17/2025,robot-schoolbus.webp,"A robot driving a school bus full of ideas, questioning whether the route leads to learning or groupthink.",,2025-08-16,2025-08-25,building,enhanced-capabilities,,
building-ai-that-actually-thinks-about,4c04e304a3a7,Building AI That Actually Thinks About Product Work,,robot-conductor.webp,"A robot conductor raising a baton to coordinate an ensemble, representing AI orchestrating product thinking.",,2025-06-02,2025-07-14,building,foundation-building,,
making-strategic-technical-decisions-with-ai,4c203b9e848c,Making Strategic Technical Decisions with AI: The MCP Integration Story,,robot-ea.webp,"A robot executive assistant reviewing a strategic brief, representing AI as a technical decision partner.",,2025-07-03,2025-08-30,insight,enhanced-capabilities,,
the-coordination-tax,4e6f997a80cf,The Coordination Tax: When Copy-Paste Becomes Your Biggest Bottleneck,,robot-tablets.webp,"A robot juggling stone tablets, capturing the overhead of manually shuttling context between agents.",,2025-07-08,2025-07-31,building,the-debugging-marathon,,
train-tracks-vs-free-for-all-when-methodology-becomes-infrastructure,4ecc40d907e0,Train Tracks vs Free-for-All: When Methodology Becomes Infrastructure,9/9/2025,robot-ballet.webp,"A robot performing ballet with precise choreography, contrasting structured method against improvised movement.",,2025-09-10,2025-09-17,building,strategic-pause,,
building-the-cathedral-when-ai-agents-need-the-big-picture,50b9dfb0b2af,Building the Cathedral: When AI Agents Need the Big Picture,9/21/2025,robot-parts.webp,"A robot arranging scattered parts toward a grand design, showing agents needing the full architectural vision.",,2025-09-27,2025-10-03,building,discipline-completion,,
the-demo-that-broke-and-why,5140d1657000,The Demo That Broke (And Why That's Perfect),,robot-kitsugi.webp,"A robot mending cracked ceramic with gold, representing a broken demo repaired into something stronger.",,2025-06-22,2025-08-10,insight,methodology-refinement,,
battle-testing-github-integration-when-recovery-becomes-learning,5243027aa9f6,Battle-Testing GitHub Integration: When Recovery Becomes Learning,7/22/2025,robot-balloon.webp,"A robot holding a patched balloon aloft, showing how integration failures become lessons that hold up.",,2025-06-29,2025-07-29,building,first-production-tests,,
always-keep-something-showable-demo-infrastructure-for-hyperfast-development,52d682510c10,Always Keep Something Showable: Demo Infrastructure for Hyperfast Development,8/6/2025,robot-toy.webp,"A robot proudly displaying a working toy model, embodying the practice of always having something to show.",,2025-06-14,2025-08-09,insight,methodology-refinement,,
the-sunday-when-everything-clicked,53a3abc8a156,The Sunday When Everything Clicked,8/23/2025,robot-brain.webp,"A robot with a lit-up brain, marking the moment disparate pieces of understanding suddenly connect.",,2025-08-24,2025-09-01,building,orchestration-verification,,
from-organic-to-orchestrated-when-methodology-becomes-infrastructure,577dde7ad54a,From Organic to Orchestrated: When Methodology Becomes Infrastructure,8/28/2025,robot-shortcut.webp,"A robot bypassing a winding path via a direct shortcut, representing organic habits becoming deliberate infrastructure.",,2025-08-31,2025-09-08,building,orchestration-verification,,
the-day-crisis-became-methodology-from-runaway-workflows-to-historic-productivity,57c4bc5529f7,The Day Crisis Became Methodology: From Runaway Workflows to Historic Productivity,7/29/2025,robot-outlaw.webp,"A robot outlaw tamed into a deputy's role, showing runaway workflows transformed into disciplined method.",,2025-07-30,2025-08-12,building,methodology-refinement,,
the-question-that-started-everything,5a69f9a2af0b,The Question That Started Everything,,robot-question.webp,"A robot pausing mid-thought, posed with a raised hand, holding an unanswered question.",,2025-05-27,2025-07-13,insight,foundation-building,,
the-fractal-edge-when-problems-get-smaller-not-fewer,5be76c5cf5de,"The Fractal Edge: When Problems Get Smaller, Not Fewer",9/6/2025,5be76c5cf5de-featured,Abstract branching patterns suggesting problems that subdivide rather than disappear as you zoom in.,robot-pottery.webp,2025-09-08,2025-09-15,building,meta-development,,
how-reusing-patterns-compounds-your-acceleration,60d2a0d7acbd,How Reusing Patterns Compounds Your Acceleration`,,robot-complete.webp,"A robot standing beside a finished structure, showing how assembled parts form a complete working system.",,2025-08-14,2025-08-21,building,infrastructure-sprint,,
when-your-mvp-develops-its-own-nervous-system,61d2531fd4cf,When Your MVP Develops Its Own Nervous System,8/23/2025,robot-housekeeping.webp,"A robot tidying and organizing autonomously, handling maintenance tasks without being told.",,2025-08-23,2025-08-29,building,enhanced-capabilities,,
the-day-piper-published-to-my-company-wiki-sometimes-a-great-notion,6359151caf25,The Day Piper Published to My Company Wiki: Sometimes a Great Notion,8/28/2025,robot-lie-detector.webp,"A robot wired up to a verification machine, checking the truth of its own outputs before publishing.",,2025-08-29,2025-09-05,building,orchestration-verification,,
domain-first-development,647704d46558,Domain-First Development: Actually Building What We Designed,,robot-construction.webp,"A robot at a construction site, working from blueprints to build exactly what was originally designed.",,2025-06-02,2025-07-11,building,foundation-building,,
the-plugin-architecture-nobody-asked-for,650da4a52669,The Plugin Architecture Nobody Asked For,,robot-noir.webp,"A trench-coated robot in dim light, uncovering an architecture that quietly solved more than the brief required.",,2025-10-02,2025-10-09,building,reflection-evolution,,
refining-ai-chat-continuity-for-complex-projects,690308c75a13,Refining AI Chat Continuity for Complex Projects,8/28/2025,robot-expert.webp,"A robot in a professional pose, holding accumulated knowledge and prepared to carry context across sessions.",,2025-07-03,2025-08-31,insight,enhanced-capabilities,,
the-24-hour-test,698b8a61909a,The 24-hour test,9/21/2025,robot-teaching.webp,"A robot at a chalkboard, demonstrating whether learned behaviors hold up over a full day of real use.",,2025-09-22,2025-09-29,building,discipline-completion,,
the-archaeology-of-code-or,6a49dea29795,The Archaeology of Code (Or: How Session Logs Became Stories),,robot-tablets.webp,"A robot examining stone tablets, reading layered session logs as ancient records of past decisions.",,2025-07-07,2025-09-13,insight,meta-development,,
methodology-under-fire-a-development-story,6fbbf88fbf66,Methodology Under Fire: A Development Story,9/12/2025,robot-montage.webp,"A sequence of robot poses under pressure, showing how a methodology holds together across multiple stress points.",,2025-09-12,2025-09-19,building,strategic-pause,,
doing-the-deep-work-listed-as-when-discipline-actually-works,704e26cccf03,Doing the Deep Work (listed as When Discipline Actually Works),9/21/2025,robot-tiefly.webp,"A robot in business attire focused intently on a task, embodying the discipline of deliberate, unglamorous work.",,2025-09-24,2025-10-01,building,discipline-completion,,
building-the-architecture-that-build-itself,709a10b7f5c4,Building the Architecture that Build Itself,9/3/2025,robot-greenhouse.webp,"A robot tending a greenhouse where the plants grow and propagate on their own, needing only the right conditions.",,2025-09-02,2025-09-09,building,meta-development,,
think-like-a-time-lord-and-stop-watching-the-clock,71b3b5ee49a0,Think Like a Time Lord and Stop Watching the Clock,,robot-80.webp,"A robot glancing at a large number eighty, unconcerned by the clock, working at a sustainable measured pace.",,2025-09-30,2025-10-07,building,reflection-evolution,,
the-integration-reality-check,72145777c406,The Integration Reality Check,,robot-integrate.webp,"A robot connecting two separate systems with a cable, discovering what actually works when parts meet.",,2025-06-24,2025-07-21,building,foundation-building,,
the-accidental-methodology-stress-test-when-success-creates-its-own-blind-spots,7511ff6368a9,The Accidental Methodology Stress Test: When Success Creates Its Own Blind Spots,7/26/2025,robot-files.webp,"A robot surrounded by filing cabinets, sorting through accumulated success records that obscured a hidden gap.",,2025-07-26,2025-08-11,building,methodology-refinement,,
the-foundations-were-indeed-already-there,7701c04a1497,The Foundations Were (Indeed) Already There,9/21/2025,robot-clean.webp,A robot wiping down a surface to reveal solid groundwork that had been there underneath all along.,,2025-09-26,2025-10-03,building,discipline-completion,,
the-debugging-cascade,7aaec260ede5,The Debugging Cascade: A 90-Minute Journey Through Integration Hell,,robot-overhead.webp,"A robot weighed down by stacked overhead, illustrating how one integration failure triggers a chain of further problems.",,2025-07-07,2025-07-31,building,the-debugging-marathon,,
what-we-found-when-we-actually-looked-and-what-we-built-while-we-werent-looking,7c43e28211f3,What We Found When We Actually Looked (And What We Built While We Weren't Looking),8/12/2025,robot-documents.webp,"A robot reviewing a stack of documents, finding work that had accumulated unnoticed while attention was elsewhere.",,2025-08-09,2025-08-18,building,infrastructure-sprint,,
engineering-excellence-in-a-gdel-incomplete-universe,7d4ea25d03fe,Engineering Excellence in a Gödel-Incomplete Universe,7/27/2025,robot-donuts.webp,"A robot contemplating a ring-shaped pastry, examining the gap in the middle as a symbol of irreducible incompleteness.",,2025-07-27,2025-08-11,building,methodology-refinement,,
when-architecture-principles-trump-tactical-convenience,7d71c9e5316d,When Architecture Principles Trump Tactical Convenience,7/22/2025,robot-sailboat.webp,A robot steering a sailboat by fixed stars rather than taking the nearest shortcut across the water.,,2025-06-16,2025-07-23,building,complexity-reckoning,,
i-asked-claude-to-find-every-time-i-dropped-the-ball-and-what-we-learned,7f74897824a7,I Asked Claude to Find Every Time I Dropped the Ball (And What We Learned),,robot-prebuilt.webp,"A robot reviewing a prefabricated checklist of past lapses, ready to slot better habits into place.",,2025-08-09,2025-10-05,insight,reflection-evolution,,
the-day-we-stopped-fighting-the,7fc3aadc2a3b,The Day We Stopped Fighting the System,,Claude's POV!.webp,"A first-person view from an AI's perspective, looking outward at the system it finally agreed to work within.",,2025-07-03,2025-07-30,building,the-debugging-marathon,,
when-your-agents-disagree-and-thats-ok,81b764fa5de2,When Your Agents Disagree (And That's OK),9/19/2025,robot-shopfloor.webp,"Several robots on a production floor each working a different station, disagreeing in ways that keep quality high.",,2025-09-17,2025-09-24,building,discipline-completion,,
the-28000-line-foundation-that-made-4-hours-feel-like-magic,82eafb4548f7,"The 28,000-line foundation that made 4 hours feel like magic",8/10/2025,82eafb4548f7-featured,"A vast layered foundation beneath a small visible structure, showing how deep preparation enables rapid results.",robot-archaeologists.webp,2025-08-11,2025-08-19,building,infrastructure-sprint,,
why-the-future-of-ai-ux,8aacc89aecc9,"Why the Future of AI UX is Orchestration, Not Intelligence",,8aacc89aecc9-featured,"Multiple AI agents arranged in coordinated formation, illustrating orchestration as the core of useful AI experience.",robot-discovery.webp,2025-08-19,2025-10-12,insight,reflection-evolution,,
when-claude-took-a-break-and-gemini-stepped-in,922fd802460e,When Claude Took a Break (And Gemini Stepped In),7/11/2025,robot-understudy.webp,A standby robot stepping forward from the wings to take over a role mid-performance without missing a beat.,,2025-05-30,2025-08-02,building,first-production-tests,,
the-uncomfortable-victory-when-completing-beats-innovating,97c356c12d55,The uncomfortable victory: When completing beats innovating,8/12/2025,robot-hype.webp,"A robot surrounded by hype paraphernalia, choosing to quietly finish the task instead of chasing the next idea.",,2025-08-13,2025-08-20,building,infrastructure-sprint,,
the-ai-detective-squad,987eb4c5cc42,The AI Detective Squad: When Three Agents Solve One Mystery,,robot-detectives.webp,"Three robot detectives comparing clues, each bringing a different angle to crack one shared technical mystery.",,2025-07-12,2025-08-01,building,test-suite-recovery,,
when-your-docs-lie,98ad7b8cefd0,When Your Docs Lie,,robots-docs.webp,"Two robots consulting a document that contradicts observable reality, highlighting documentation that misleads rather than guides.",,2025-06-21,2025-07-25,building,complexity-reckoning,,
verification-theater-and-the-chaos-we-dont-see,98f1c8575c90,Verification Theater and the Chaos We Don't See,8/28/2025,robot-piano.webp,"A robot performing at a piano, playing through the motions while hidden chaos unfolds offstage.",,2025-08-27,2025-09-03,building,orchestration-verification,,
when-you-need-to-go-into-inchworm-mode,9b7bbd23a16c,When You Need to Go into Inchworm Mode,9/12/2025,robot-vision.webp,"A robot gazing with focused intention, narrowing its view to see only what matters right now.",,2025-09-13,2025-09-22,building,strategic-pause,,
naming-piper-morgan,9efacddc4804,Naming Piper Morgan,,robot-champagne.webp,"A robot raising a champagne glass in celebration, marking the moment a project earns its name.",,2025-05-29,2025-07-26,insight,complexity-reckoning,,
the-action-humanizer,9fbbf6932838,The Action Humanizer: Teaching AI to Speak Human,,robot-speech.webp,"A robot mid-speech with a word bubble, translating mechanical output into natural human language.",,2025-07-13,2025-08-04,building,test-suite-recovery,,
solving-the-80-pattern,a1dc0ddb8966,Solving the 80% Pattern,,robot-bar.webp,"A robot surveying a bar chart, confronting the gap between eighty percent done and fully complete.",,2025-09-29,2025-10-06,building,reflection-evolution,,
the-day-we-didnt-just-integrate-slack-but-started-incorporating-spatial-intelligence,a1f5fc08b053,The Day We Didn't Just Integrate Slack But Started Incorporating Spatial Intelligence,7/27/2025,robot-mobius.webp,"A robot tracing a Mobius strip, illustrating how integration loops back into itself and deepens understanding.",,2025-07-28,2025-08-12,building,methodology-refinement,,
teaching-machines-to-teach-machines,a786faceb01a,Teaching Machines to Teach Machines,9/21/2025,robot-banquet.webp,"Robots gathered around a banquet table, sharing knowledge in an expanding chain of machine-to-machine learning.",,2025-09-21,2025-09-29,building,discipline-completion,,
716-chat-2,a7d8ee906912,The 40-minute miracle: how two AI agents achieved 642x performance in one session,7/16/2025,robot-relay.webp,"Two robots passing a baton at speed, representing agents handing off work to achieve dramatic performance gains.",,2025-07-18,2025-08-06,building,test-suite-recovery,,
from-scaffolding-to-flight,a858bf183c21,From Scaffolding to Flight: Before the Training Wheels Come Off,,robot-trike.webp,"A robot on a tricycle, poised at the threshold before training wheels come off and real flight begins.",,2025-06-05,2025-07-05,building,genesis-architecture,,
the-learning-infrastructure-gambit,aab04037831e,The Learning Infrastructure Gambit,,robot-foundation.webp,"A robot laying concrete at a foundation, investing in invisible groundwork before any visible structure can rise.",,2025-06-03,2025-07-03,building,genesis-architecture,,
the-day-we-finished-next-weeks-work-in-one-day,ad5a228fbc0a,The Day We Finished Next Week's Work in One Day,7/22/2025,robot-extension.webp,"A robot stretching an arm far beyond its reach, collapsing a week of work into a single accelerated session.",,2025-07-22,2025-08-07,building,test-suite-recovery,,
the-archaeology-expedition-that-found-automation-gold,b10058d924af,The archaeology expedition that found automation gold,8/10/2025,robot-coach.webp,"A robot in a coaching stance, guiding a dig through existing code to uncover buried automation potential.",,2025-08-10,2025-08-18,building,infrastructure-sprint,,
the-pm-who-automated-himself-or,b1d8c2dd5f40,The PM Who Automated Himself (Or at Least Tried To),,robot-gepetto.webp,"A robot puppeteer pulling strings on a smaller figure, blurring the line between creator and creation.",,2025-05-28,2025-07-01,building,genesis-architecture,,
the-48-hour-rollercoaster,b4d9193ec579,The 48-hour rollercoaster: from working tests to ‘Failed attempt’ and back to ‘LIFE SAVER !!!”’,,robot-rollercoaster.webp,"A robot riding a steep rollercoaster, arms out, swinging between failure and triumphant recovery in two days.",,2025-06-26,2025-07-28,building,complexity-reckoning,,
the-discipline-of-boring-why-saturdays-foundation-work-matters-more-than-mondays-features,b590180b511c,The Discipline of Boring: Why Saturday's Foundation Work Matters More Than Monday's Features,9/20/2025,robot-fiing.webp,"A robot methodically filing paperwork, embodying the unglamorous foundation work that enables future features.",,2025-09-20,2025-09-26,building,discipline-completion,,
bidirectional-intelligence,b5bb0c2c9384,"Bidirectional Intelligence: Teaching AI to Critique, Not Just Create",,b5bb0c2c9384-featured,"An AI system receiving feedback in both directions, learning to critique its own outputs as well as create them.",robot-critique.webp,2025-06-09,2025-07-07,building,foundation-building,,
the-great-rebuild,b75918602942,The Great Rebuild: Starting Over When Starting Over Is the Only Option,,robot-inventor.webp,"A robot inventor surrounded by sketches and discarded parts, embracing a full restart as the only path forward.",,2025-05-29,2025-07-02,insight,genesis-architecture,,
from-2-to-87,b7c3ef25cbdc,From 2% to 87%: The Great Test Suite Recovery,,robot-doctors.webp,"Robots in medical coats consulting over a patient, diagnosing a failing test suite and nursing it back to health.",,2025-07-13,2025-08-04,building,test-suite-recovery,,
